63366,St. Charles County,-,Reciprocal,St. Charles,
63367,St. Charles County,-,Reciprocal,St. Charles,
63368,St. Charles County,O'Fallon,Reciprocal,St. Charles,
63373,St. Charles County,-,Reciprocal,St. Charles,
63376,St. Charles County,-,Reciprocal,St. Charles,
63385,St. Charles County,-,Reciprocal,St. Charles,
63386,St. Charles County,-,Reciprocal,St. Charles,
63010,Jefferson County,"Arnold, Maxville","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63012,Jefferson County,Barnhart,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63016,Jefferson County,"Cedar Hill, Lake Adelle","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63019,Jefferson County,"Crystal City, Festus","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63020,Jefferson County,"De Soto, Olympian Village, Valles Mines","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63023,Jefferson County,Dittmer,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63028,Jefferson County,Festus,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63030,Jefferson County,Fletcher,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63047,Jefferson County,Hematite,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63048,Jefferson County,Herculaneum,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63050,Jefferson County,Hillsboro,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63051,Jefferson County,House Springs,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63052,Jefferson County,"Antonia, Imperial, Otto, Sulphur Springs","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63053,Jefferson County,"Imperial, Kimmswick","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63057,Jefferson County,Liguori,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63065,Jefferson County,Mapaville,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63066,Jefferson County,Morse Mill,"Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63070,Jefferson County,"Horine, Pevely","Reciprocal or
Non-Resident",Jefferson County,"Verify school district. Jefferson County residents must be in Fox, Northwest, or Windsor to hold a reciprocal card type."
63626,"Jefferson County or
Saint Francois County or
Washington County",Blackwell,"Reciprocal or
Non-Resident or
Ineligible","Jefferson County or
N/A","Verify county of residence through USPS. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a reciprocal card type. 

If patron is outside of one of these districts but still in Jefferson County, they may purchase a non-resident card. Residents of Saint Francois County and Washington County are ineligible for a SLCL card.

Note: Washington, MO (a city located in Franklin County) is distinct from Washington County (a separate county also located in Missouri)."
63627,"Jefferson County or
Sainte Genevieve County",Bloomsdale,"Reciprocal or
Non-Resident or
Ineligible","Jefferson County or
N/A","Verify county of residence through USPS. For Jefferson County residents, verify school district. Must be in Fox, Northwest, or Windsor to hold a reciprocal card type. 

If patron is outside of one of these districts but still in Jefferson County, they may purchase a non-resident card. Residents of Sainte Genevieve County are ineligible for a SLCL card."
63013,Franklin County,Beaufort,Reciprocal,Franklin County,
63015,Franklin County,Catawissa,Reciprocal,Franklin County,
63037,Franklin County,Gerald,Reciprocal,Franklin County,
63039,Franklin County,Gray Summit,Reciprocal,Franklin County,
63041,Franklin County,Grubville,Reciprocal,Franklin County,
63055,Franklin County,"Labadie or
Pacific",Reciprocal,Franklin County,
63056,Franklin County,Leslie,Reciprocal,Franklin County,
63060,Franklin County,"Lonedell or
Luebbering",Reciprocal,Franklin County,
63061,Franklin County,Luebbering,Reciprocal,Franklin County,
63068,Franklin County,"Campbellton, Detmold, Dissen, Lyon, New Haven, Stony Hill",Reciprocal,Franklin County,
63072,Franklin County,Robertsville,Reciprocal,Franklin County,
63073,Franklin County,Saint Albans,Reciprocal,Franklin County,
63077,Franklin County,Saint Clair,Reciprocal,Warren County,
63079,Franklin County,Stanton,Reciprocal,Franklin County,
63080,Franklin County,"Japan, Pea Ridge, Spring Bluff, Strain, Sullivan",Reciprocal,Franklin County,
63084,Franklin County,"Moselle, Union",Reciprocal,Franklin County,
63089,Franklin County,Villa Ridge,Reciprocal,Franklin County,
63014,"Franklin County or
Gasconade County","Berger, Etlah",Reciprocal,"Franklin County or
Gasconade County",Verify county of residence through USPS.
63091,"Franklin County or
Gasconade County",Rosebud,Reciprocal,"Franklin County or
Gasconade County",Verify county of residence through USPS.
63090,"Franklin County or
Washington City","Campbellton, Clover Bottom, Washington",Reciprocal,"Franklin County or
Washington Public Library","If patron is a resident of the city of Washington, MO, use the Washington Public Library geo code. Otherwise, use Franklin County."
65036,Gasconade County,"Gasconade, Morrison",Reciprocal,Gasconade County,
65062,Gasconade County,"Bland, Mount Sterling",Reciprocal,Gasconade County,
63342,Warren County,Dutzow,Reciprocal,Warren County,
63357,Warren County,"Lake Sherwood, Marthasville",Reciprocal,Warren County,
63378,Warren County,Treloar,Reciprocal,Warren County,
63383,Warren County,"Camp Branch, Elkhorn, Pendleton, Truesdale, Warrenton",Reciprocal,Warren County,
63390,Warren County,"Innsbrook, Wright City",Reciprocal,Warren County,
65441,"Franklin County or
Crawford County",Bourbon,"Reciprocal or
Ineligible","Franklin County or
N/A",Verify county of residence through USPS.
65066,"Gasconade County or
Crawford County","Bem, Brush Creek, Drake, Old Woollam, Owensville","Reciprocal or
Ineligible","Gasconade County or 
N/A",Verify county of residence through USPS.
65453,"Gasconade County or
Crawford County",Cuba,"Reciprocal or
Ineligible","Gasconade County or
N/A",Verify county of residence through USPS.
63381,"Warren County or
Lincoln County","New Truxton, Truxton","Reciprocal or
Non-Resident","Warren County or
Other MO",Verify county of residence through USPS.
63071,"Franklin County or
Washington County",Richwoods,"Reciprocal or
Ineligible","Franklin County or
N/A","Verify county of residence through USPS. Only Franklin residents can obtain a SLCL card; other residents in this ZIP code are ineligible.

Note: Washington, MO (a city located in Franklin County) is distinct from Washington County (a separate county also located in Missouri)."
